#BLTrackFile VirtualDetector/uniform_.0010_rad_detector_8
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
7.10041 -4.51294 5920.5 0.075813 -0.202674 89.8318 36.3908 -211 6 1 0 1
-0.415885 -0.827647 5920.5 -0.000291139 -0.230382 105.533 32.6555 -211 7 1 0 1
7.57727 3.34845 5920.5 0.11281 0.0628392 123.256 29.7539 -211 10 1 0 1
-7.04176 0.353776 5920.5 -0.155194 -0.078204 130.991 28.78 -211 12 1 0 1
4.22868 -4.28769 5920.5 0.0299715 -0.0888169 93.8952 35.2844 -211 16 1 0 1
1.74722 -4.14174 5920.5 -0.0399739 0.0518115 103.635 33.0372 -211 21 1 0 1
9.43139 4.80431 5920.5 0.159512 -0.0183889 143.904 27.4371 -211 23 1 0 1
-1.61024 6.04365 5920.5 0.0549931 -0.0163841 128.696 29.0539 -211 27 1 0 1
4.45625 0.153076 5920.5 0.0640738 0.0429124 135.383 28.2874 -211 29 1 0 1
-4.29217 -4.87902 5920.5 0.0229269 0.0424641 101.638 33.4571 -211 37 1 0 1
15.0133 1.27183 5920.5 0.178089 -0.117029 131.395 28.733 -211 46 1 0 1
3.73113 3.73587 5920.5 -0.0119033 0.0215593 95.5153 34.8735 -211 47 1 0 1
-7.30635 0.877226 5920.5 -0.0489488 0.0679475 99.3371 33.9655 -211 53 1 0 1
5.42487 -1.56451 5920.5 0.0167328 0.0356019 78.7505 40.0792 -211 54 1 0 1
10.1044 2.15841 5920.5 0.0857877 -0.176579 149.872 26.9131 -211 57 1 0 1
7.62284 -1.90241 5920.5 0.17576 -0.00922168 149.756 26.9228 -211 59 1 0 1
-4.56307 3.18045 5920.5 -0.103796 0.0862265 97.6868 34.3475 -211 61 1 0 1
9.36318 1.17984 5920.5 0.0514476 -0.087689 112.615 31.3645 -211 69 1 0 1
4.35245 -0.892901 5920.5 0.117292 -0.0413684 121.233 30.0338 -211 70 1 0 1
-3.04509 1.9348 5920.5 -0.0598539 -0.0187526 126.774 29.2928 -211 72 1 0 1
