#BLTrackFile VirtualDetector/uniform_.0035_rad_detector_8
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0.12548 12.7718 5920.5 -0.00484742 0.0200335 105.533 32.6554 -211 7 1 0 1
8.41607 -7.28666 5920.5 0.0779724 -0.192469 93.895 35.2845 -211 16 1 0 1
7.68867 -0.371527 5920.5 0.112396 0.0346872 135.383 28.2874 -211 29 1 0 1
3.10895 11.8311 5920.5 -0.0227316 0.217221 95.515 34.8736 -211 47 1 0 1
-13.2794 -1.35205 5920.5 -0.121327 0.0301118 99.337 33.9655 -211 53 1 0 1
7.66541 6.33687 5920.5 -0.0481065 -0.0190035 149.872 26.9131 -211 57 1 0 1
10.3054 7.78344 5920.5 0.0263306 0.0750866 112.615 31.3645 -211 69 1 0 1
-7.74924 8.30614 5920.5 -0.142284 0.147534 126.774 29.2929 -211 72 1 0 1
-7.91427 -1.08147 5920.5 -0.16626 -0.051928 99.4471 33.9406 -211 75 1 0 1
1.39023 -3.50628 5920.5 0.178336 -0.205594 132.992 28.5505 -211 81 1 0 1
10.2777 -9.25227 5920.5 -0.00603336 -0.0486349 73.703 42.1775 -211 91 1 0 1
1.75507 -1.91787 5920.5 -0.116151 -0.0182358 103.513 33.0624 -211 110 1 0 1
14.2543 -5.86243 5920.5 0.16267 -0.0172562 64.0533 47.2191 -211 111 1 0 1
13.3543 0.118523 5920.5 24.1643 16.9164 81.4172 31.5973 13 116 1001 1 1
4.07003 12.321 5920.5 0.0123026 0.305145 103.586 33.0474 -211 120 1 0 1
-0.869222 -11.3531 5920.5 0.0718902 -0.272143 139.867 27.8238 -211 127 1 0 1
-1.35119 8.02025 5920.5 -0.0353264 0.12032 95.211 34.9494 -211 129 1 0 1
-12.8223 8.77217 5920.5 -0.253884 0.100275 104.008 32.9609 -211 135 1 0 1
-7.33623 -6.27927 5920.5 -0.10849 -0.0655304 89.0278 36.6233 -211 138 1 0 1
12.3983 -5.00603 5920.5 0.265806 -0.0746507 84.3776 38.069 -211 141 1 0 1
5.09479 -8.1417 5920.5 -0.135577 -0.109667 108.713 32.051 -211 144 1 0 1
