#BLTrackFile VirtualDetector/on_uniform_.0010_rad_detector_8
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
7.76623 -4.79145 5920.5 0.101865 -0.205578 89.8317 36.3908 -211 6 1 0 1
-0.458141 -1.14446 5920.5 -0.0021622 -0.236 105.533 32.6555 -211 7 1 0 1
8.01923 3.32815 5920.5 0.135119 0.0619679 123.256 29.7539 -211 10 1 0 1
-7.35342 0.26493 5920.5 -0.17181 -0.0806054 130.991 28.78 -211 12 1 0 1
4.65207 -4.33783 5920.5 0.0470946 -0.0889622 93.8952 35.2844 -211 16 1 0 1
2.0307 -3.95297 5920.5 -0.0276578 0.0556089 103.635 33.0372 -211 21 1 0 1
9.87842 4.66103 5920.5 0.185175 -0.0233251 143.904 27.4371 -211 23 1 0 1
-1.82163 5.86254 5920.5 0.0440668 -0.0217418 128.696 29.0539 -211 27 1 0 1
4.69576 0.189993 5920.5 0.0771277 0.0439303 135.383 28.2874 -211 29 1 0 1
-4.81836 -4.68367 5920.5 0.000353533 0.0463393 101.638 33.4571 -211 37 1 0 1
4.20958 3.67776 5920.5 0.00764759 0.0202295 95.5153 34.8735 -211 47 1 0 1
-7.99572 0.964878 5920.5 -0.078092 0.0692327 99.3371 33.9655 -211 53 1 0 1
6.20152 -1.44851 5920.5 0.0440949 0.0368212 78.7505 40.0792 -211 54 1 0 1
10.6594 1.96098 5920.5 0.118616 -0.183278 149.872 26.9131 -211 57 1 0 1
7.91845 -1.85986 5920.5 0.193373 -0.00762606 149.755 26.9228 -211 59 1 0 1
-4.79773 3.24232 5920.5 -0.1137 0.0867711 97.6867 34.3475 -211 61 1 0 1
10.1416 1.0323 5920.5 0.0878102 -0.0908479 112.615 31.3645 -211 69 1 0 1
4.51871 -0.916586 5920.5 0.125662 -0.0418186 121.233 30.0338 -211 70 1 0 1
-3.19466 1.86209 5920.5 -0.0676033 -0.0208033 126.774 29.2928 -211 72 1 0 1
-0.340169 -1.37087 5920.5 -0.044626 -0.0414543 99.4472 33.9405 -211 75 1 0 1
-14.0354 0.420235 5920.5 -0.206875 0.0164997 120.923 30.0778 -211 79 1 0 1
-5.90687 -1.48339 5920.5 -0.0159608 -0.137655 132.992 28.5505 -211 81 1 0 1
-0.830215 3.24788 5920.5 0.073721 -0.0475283 79.8975 39.6435 -211 86 1 0 1
-6.91728 3.99378 5920.5 -0.0282189 -0.117633 109.368 31.9317 -211 87 1 0 1
4.81553 -1.30085 5920.5 0.0616588 0.0984167 99.4005 33.9511 -211 88 1 0 1
8.04867 2.58869 5920.5 -0.0621398 0.0507718 73.703 42.1778 -211 91 1 0 1
-6.97355 2.45877 5920.5 -0.125404 -0.00882406 120.453 30.1447 -211 97 1 0 1
-7.33672 5.07982 5920.5 -0.143993 0.0721887 108.238 32.1386 -211 98 1 0 1
11.6873 4.97825 5920.5 0.20381 0.0621849 127.382 29.2163 -211 103 1 0 1
7.63321 -0.208815 5920.5 0.0191202 0.00494161 103.513 33.0624 -211 110 1 0 1
2.27892 4.60853 5920.5 0.0360405 0.021662 64.0535 47.219 -211 111 1 0 1
2.39346 4.26058 5920.5 23.985 17.007 81.4086 31.5972 13 116 1001 1 1
3.86121 5.12854 5920.5 0.0204615 0.100782 103.586 33.0474 -211 120 1 0 1
7.5264 -0.170059 5920.5 -0.032052 -0.0115328 69.1671 44.3553 -211 123 1 0 1
-5.22665 2.96503 5920.5 -0.128058 -0.0350775 107.126 32.3473 -211 125 1 0 1
2.3964 -4.98494 5920.5 -0.0703929 -0.0279086 99.163 34.0051 -211 126 1 0 1
-3.7357 -3.07638 5920.5 -0.0215869 -0.0240631 139.867 27.8238 -211 127 1 0 1
0.171601 1.64803 5920.5 -0.011594 -0.0129652 95.2111 34.9494 -211 129 1 0 1
-2.07226 0.746767 5920.5 -0.0809956 -0.0625341 104.009 32.9608 -211 135 1 0 1
-1.55694 -0.458256 5920.5 -0.0348341 0.0355003 89.0279 36.6233 -211 138 1 0 1
0.882751 -3.29016 5920.5 0.0923792 0.0759267 104.968 32.7673 -211 140 1 0 1
-1.55201 -0.771509 5920.5 0.0835463 0.00852472 84.378 38.0689 -211 141 1 0 1
12.3646 -1.40527 5920.5 0.0584661 0.0238016 108.713 32.0511 -211 144 1 0 1
1.46169 0.320209 5920.5 0.0825221 0.00101225 92.511 35.6487 -211 146 1 0 1
1.03226 0.12085 5920.5 0.0441518 -0.0216993 86.229 37.4721 -211 149 1 0 1
8.21403 3.79723 5920.5 0.0602588 -0.0571329 84.3898 38.065 -211 151 1 0 1
2.42122 6.28018 5920.5 0.0504131 0.0839954 94.1216 35.226 -211 153 1 0 1
-5.35687 3.5929 5920.5 -0.091566 0.0667005 104.997 32.7615 -211 159 1 0 1
0.792591 -1.15999 5920.5 0.0500101 -0.0698155 87.6292 37.0397 -211 161 1 0 1
-0.316141 3.91527 5920.5 0.0541593 0.172314 87.8888 36.9614 -211 162 1 0 1
-5.57711 4.36581 5920.5 0.0190202 -0.00702589 102.026 33.374 -211 164 1 0 1
0.913351 4.94339 5920.5 -0.0161589 0.108898 122.814 29.8141 -211 165 1 0 1
6.864 6.7326 5920.5 0.0907994 0.234434 99.202 33.9964 -211 167 1 0 1
-2.32174 4.57088 5920.5 0.0123343 0.0523172 91.0743 36.0403 -211 177 1 0 1
2.0907 -5.40934 5920.5 -0.0333276 -0.0217613 112.287 31.42 -211 180 1 0 1
