#BLTrackFile VirtualDetector/on_uniform_.0050_rad_detector_8
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-0.784596 -0.0298169 5920.5 -0.0105554 -0.234349 105.533 32.6555 -211 7 1 0 1
9.70724 2.09692 5920.5 0.237007 0.058404 135.382 28.2874 -211 29 1 0 1
-14.9628 2.17036 5920.5 -0.248347 0.0693442 99.3368 33.9656 -211 53 1 0 1
8.6829 1.06215 5920.5 0.0500435 -0.192589 149.872 26.9131 -211 57 1 0 1
11.2304 5.20107 5920.5 0.117517 -0.0783353 112.615 31.3645 -211 69 1 0 1
-10.4205 8.65115 5920.5 -0.28588 0.019147 126.773 29.2929 -211 72 1 0 1
-9.45182 -5.24669 5920.5 -0.267484 -0.0420487 99.4469 33.9406 -211 75 1 0 1
2.86292 -10.6278 5920.5 0.259755 -0.202712 132.992 28.5506 -211 81 1 0 1
7.98481 -0.946952 5920.5 -0.0632819 0.0729719 73.703 42.1778 -211 91 1 0 1
1.3193 -1.76705 5920.5 -0.14105 0.00330271 103.513 33.0624 -211 110 1 0 1
12.2533 4.82761 5920.5 0.176206 0.0196634 64.0533 47.2193 -211 111 1 0 1
0.105747 -15.1409 5920.5 0.10431 -0.126166 139.867 27.8239 -211 127 1 0 1
-2.40081 8.80403 5920.5 -0.0719817 -0.0188495 95.211 34.9495 -211 129 1 0 1
-7.66094 -5.2695 5920.5 -0.16913 0.0464256 89.0278 36.6233 -211 138 1 0 1
15.0351 -4.01865 5920.5 0.428894 0.0197525 84.3769 38.0691 -211 141 1 0 1
5.5553 -8.00215 5920.5 -0.121936 0.00953285 108.713 32.0511 -211 144 1 0 1
9.41031 2.74378 5920.5 0.22263 -0.0294533 86.2287 37.4722 -211 149 1 0 1
10.2268 1.09355 5920.5 0.254326 -0.0756918 87.6289 37.0398 -211 161 1 0 1
11.5745 2.90334 5920.5 0.312475 0.174912 87.8882 36.9615 -211 162 1 0 1
4.99436 2.66462 5920.5 0.016656 -0.13138 69.1699 44.3537 -211 186 1 0 1
-0.831308 3.889 5920.5 -0.0387398 -0.00201127 108.84 32.0278 -211 193 1 0 1
7.24623 0.378001 5920.5 0.169244 0.00708193 53.564 54.9689 -211 207 1 0 1
0.727677 12.4611 5920.5 -0.0972289 0.0291601 103.553 33.0542 -211 217 1 0 1
-3.28703 -11.5991 5920.5 -0.0522214 0.206281 64.253 47.0979 -211 220 1 0 1
0.554326 4.12228 5920.5 0.014563 -0.140852 109.514 31.9054 -211 222 1 0 1
